patient,probe,beta_val,Gene,Cancer_type
TCGA-3Z-A93Z,cg00188704,0.5966,HOXA2,KIRC
TCGA-6D-AA2E,cg00188704,0.7989,HOXA2,KIRC
TCGA-A3-3357,cg00188704,0.9344,HOXA2,KIRC
TCGA-A3-3358,cg00188704,0.8224,HOXA2,KIRC
TCGA-A3-3367,cg00188704,0.831,HOXA2,KIRC
TCGA-A3-3370,cg00188704,0.7615,HOXA2,KIRC
TCGA-A3-3373,cg00188704,0.8037,HOXA2,KIRC
TCGA-A3-3376,cg00188704,0.5906,HOXA2,KIRC
TCGA-A3-3387,cg00188704,0.7746,HOXA2,KIRC
TCGA-A3-A6NI,cg00188704,0.7639,HOXA2,KIRC
TCGA-A3-A6NJ,cg00188704,0.6175,HOXA2,KIRC
TCGA-A3-A6NL,cg00188704,0.7105,HOXA2,KIRC
TCGA-A3-A6NN,cg00188704,0.8693,HOXA2,KIRC
TCGA-A3-A8CQ,cg00188704,0.4411,HOXA2,KIRC
TCGA-A3-A8OU,cg00188704,0.5917,HOXA2,KIRC
TCGA-A3-A8OV,cg00188704,0.8577,HOXA2,KIRC
TCGA-A3-A8OW,cg00188704,0.8559,HOXA2,KIRC
TCGA-A3-A8OX,cg00188704,0.7181,HOXA2,KIRC
TCGA-AK-3428,cg00188704,0.8589,HOXA2,KIRC
TCGA-AK-3431,cg00188704,0.7652,HOXA2,KIRC
TCGA-AK-3433,cg00188704,0.1733,HOXA2,KIRC
TCGA-AK-3434,cg00188704,0.8365,HOXA2,KIRC
TCGA-AK-3440,cg00188704,0.9628,HOXA2,KIRC
TCGA-AK-3445,cg00188704,0.8284,HOXA2,KIRC
TCGA-AK-3450,cg00188704,0.7843,HOXA2,KIRC
TCGA-AK-3454,cg00188704,0.7055,HOXA2,KIRC
TCGA-AK-3458,cg00188704,0.8241,HOXA2,KIRC
TCGA-AK-3460,cg00188704,0.9136,HOXA2,KIRC
TCGA-AK-3461,cg00188704,0.9324,HOXA2,KIRC
TCGA-B0-4688,cg00188704,0.9401,HOXA2,KIRC
TCGA-B0-4690,cg00188704,0.6492,HOXA2,KIRC
TCGA-B0-4693,cg00188704,0.8535,HOXA2,KIRC
TCGA-B0-4694,cg00188704,0.6029,HOXA2,KIRC
TCGA-B0-4697,cg00188704,0.7913,HOXA2,KIRC
TCGA-B0-4698,cg00188704,0.8679,HOXA2,KIRC
TCGA-B0-4699,cg00188704,0.9108,HOXA2,KIRC
TCGA-B0-4700,cg00188704,0.6969,HOXA2,KIRC
TCGA-B0-4701,cg00188704,0.7949,HOXA2,KIRC
TCGA-B0-4703,cg00188704,0.6931,HOXA2,KIRC
TCGA-B0-4706,cg00188704,0.766,HOXA2,KIRC
TCGA-B0-4707,cg00188704,0.6287,HOXA2,KIRC
TCGA-B0-4710,cg00188704,0.6176,HOXA2,KIRC
TCGA-B0-4712,cg00188704,0.7774,HOXA2,KIRC
TCGA-B0-4713,cg00188704,0.797,HOXA2,KIRC
TCGA-B0-4714,cg00188704,0.7951,HOXA2,KIRC
TCGA-B0-4718,cg00188704,0.8601,HOXA2,KIRC
TCGA-B0-4810,cg00188704,0.8222,HOXA2,KIRC
TCGA-B0-4813,cg00188704,0.8389,HOXA2,KIRC
TCGA-B0-4814,cg00188704,0.7995,HOXA2,KIRC
TCGA-B0-4816,cg00188704,0.8236,HOXA2,KIRC
TCGA-B0-4818,cg00188704,0.783,HOXA2,KIRC
TCGA-B0-4819,cg00188704,0.827,HOXA2,KIRC
TCGA-B0-4821,cg00188704,0.7251,HOXA2,KIRC
TCGA-B0-4822,cg00188704,0.6053,HOXA2,KIRC
TCGA-B0-4823,cg00188704,0.5839,HOXA2,KIRC
TCGA-B0-4824,cg00188704,0.8901,HOXA2,KIRC
TCGA-B0-4827,cg00188704,0.8301,HOXA2,KIRC
TCGA-B0-4842,cg00188704,0.8606,HOXA2,KIRC
TCGA-B0-4843,cg00188704,0.6563,HOXA2,KIRC
TCGA-B0-4844,cg00188704,0.871,HOXA2,KIRC
TCGA-B0-4845,cg00188704,0.8364,HOXA2,KIRC
TCGA-B0-4846,cg00188704,0.6796,HOXA2,KIRC
TCGA-B0-4848,cg00188704,0.8173,HOXA2,KIRC
TCGA-B0-4849,cg00188704,0.8256,HOXA2,KIRC
TCGA-B0-4852,cg00188704,0.7885,HOXA2,KIRC
TCGA-B0-4945,cg00188704,0.7222,HOXA2,KIRC
TCGA-B0-5080,cg00188704,0.7162,HOXA2,KIRC
TCGA-B0-5083,cg00188704,0.8372,HOXA2,KIRC
TCGA-B0-5095,cg00188704,0.4196,HOXA2,KIRC
TCGA-B0-5097,cg00188704,0.6706,HOXA2,KIRC
TCGA-B0-5098,cg00188704,0.3134,HOXA2,KIRC
TCGA-B0-5099,cg00188704,0.2605,HOXA2,KIRC
TCGA-B0-5102,cg00188704,0.6333,HOXA2,KIRC
TCGA-B0-5104,cg00188704,0.544,HOXA2,KIRC
TCGA-B0-5106,cg00188704,0.8039,HOXA2,KIRC
TCGA-B0-5108,cg00188704,0.7761,HOXA2,KIRC
TCGA-B0-5110,cg00188704,0.7526,HOXA2,KIRC
TCGA-B0-5113,cg00188704,0.8083,HOXA2,KIRC
TCGA-B0-5115,cg00188704,0.8775,HOXA2,KIRC
TCGA-B0-5116,cg00188704,0.5355,HOXA2,KIRC
TCGA-B0-5117,cg00188704,0.5935,HOXA2,KIRC
TCGA-B0-5119,cg00188704,0.8291,HOXA2,KIRC
TCGA-B0-5120,cg00188704,0.7838,HOXA2,KIRC
TCGA-B0-5121,cg00188704,0.7644,HOXA2,KIRC
TCGA-B0-5399,cg00188704,0.8576,HOXA2,KIRC
TCGA-B0-5400,cg00188704,0.8092,HOXA2,KIRC
TCGA-B0-5402,cg00188704,0.4676,HOXA2,KIRC
TCGA-B0-5690,cg00188704,0.6706,HOXA2,KIRC
TCGA-B0-5691,cg00188704,0.5973,HOXA2,KIRC
TCGA-B0-5692,cg00188704,0.8904,HOXA2,KIRC
TCGA-B0-5693,cg00188704,0.7353,HOXA2,KIRC
TCGA-B0-5694,cg00188704,0.7942,HOXA2,KIRC
TCGA-B0-5695,cg00188704,0.7026,HOXA2,KIRC
TCGA-B0-5696,cg00188704,0.6907,HOXA2,KIRC
TCGA-B0-5697,cg00188704,0.8302,HOXA2,KIRC
TCGA-B0-5698,cg00188704,0.885,HOXA2,KIRC
TCGA-B0-5699,cg00188704,0.8409,HOXA2,KIRC
TCGA-B0-5701,cg00188704,0.7906,HOXA2,KIRC
TCGA-B0-5702,cg00188704,0.5181,HOXA2,KIRC
TCGA-B0-5703,cg00188704,0.8286,HOXA2,KIRC
TCGA-B0-5705,cg00188704,0.6013,HOXA2,KIRC
TCGA-B0-5706,cg00188704,0.5435,HOXA2,KIRC
TCGA-B0-5707,cg00188704,0.8699,HOXA2,KIRC
TCGA-B0-5709,cg00188704,0.6619,HOXA2,KIRC
TCGA-B0-5710,cg00188704,0.8175,HOXA2,KIRC
TCGA-B0-5711,cg00188704,0.7427,HOXA2,KIRC
TCGA-B0-5712,cg00188704,0.8256,HOXA2,KIRC
TCGA-B0-5713,cg00188704,0.7979,HOXA2,KIRC
TCGA-B0-5812,cg00188704,0.8485,HOXA2,KIRC
TCGA-B2-4101,cg00188704,0.8612,HOXA2,KIRC
TCGA-B2-5639,cg00188704,0.881,HOXA2,KIRC
TCGA-B2-5641,cg00188704,0.7941,HOXA2,KIRC
TCGA-B2-A4SR,cg00188704,0.7544,HOXA2,KIRC
TCGA-B4-5377,cg00188704,0.8407,HOXA2,KIRC
TCGA-B4-5378,cg00188704,0.7985,HOXA2,KIRC
TCGA-B4-5832,cg00188704,0.815,HOXA2,KIRC
TCGA-B4-5834,cg00188704,0.5946,HOXA2,KIRC
TCGA-B4-5835,cg00188704,0.8777,HOXA2,KIRC
TCGA-B4-5836,cg00188704,0.7673,HOXA2,KIRC
TCGA-B4-5838,cg00188704,0.7139,HOXA2,KIRC
TCGA-B4-5843,cg00188704,0.865,HOXA2,KIRC
TCGA-B4-5844,cg00188704,0.7697,HOXA2,KIRC
TCGA-B8-4146,cg00188704,0.8865,HOXA2,KIRC
TCGA-B8-4153,cg00188704,0.703,HOXA2,KIRC
TCGA-B8-4621,cg00188704,0.911,HOXA2,KIRC
TCGA-B8-5158,cg00188704,0.8629,HOXA2,KIRC
TCGA-B8-5159,cg00188704,0.8812,HOXA2,KIRC
TCGA-B8-5162,cg00188704,0.8607,HOXA2,KIRC
TCGA-B8-5163,cg00188704,0.7407,HOXA2,KIRC
TCGA-B8-5164,cg00188704,0.7421,HOXA2,KIRC
TCGA-B8-5165,cg00188704,0.7642,HOXA2,KIRC
TCGA-B8-5545,cg00188704,0.7308,HOXA2,KIRC
TCGA-B8-5546,cg00188704,0.5203,HOXA2,KIRC
TCGA-B8-5549,cg00188704,0.8382,HOXA2,KIRC
TCGA-B8-5550,cg00188704,0.73740000000000006,HOXA2,KIRC
TCGA-B8-5551,cg00188704,0.8382,HOXA2,KIRC
TCGA-B8-5552,cg00188704,0.6255,HOXA2,KIRC
TCGA-B8-5553,cg00188704,0.706,HOXA2,KIRC
TCGA-B8-A54F,cg00188704,0.8497,HOXA2,KIRC
TCGA-B8-A54G,cg00188704,0.8997,HOXA2,KIRC
TCGA-B8-A54H,cg00188704,0.6822,HOXA2,KIRC
TCGA-B8-A54I,cg00188704,0.7859,HOXA2,KIRC
TCGA-B8-A54J,cg00188704,0.7786,HOXA2,KIRC
TCGA-B8-A7U6,cg00188704,0.7335,HOXA2,KIRC
TCGA-B8-A8YJ,cg00188704,0.5904,HOXA2,KIRC
TCGA-BP-4177,cg00188704,0.8181,HOXA2,KIRC
TCGA-BP-4760,cg00188704,0.7614,HOXA2,KIRC
TCGA-BP-4770,cg00188704,0.4055,HOXA2,KIRC
TCGA-BP-4782,cg00188704,0.7935,HOXA2,KIRC
TCGA-BP-4795,cg00188704,0.7123,HOXA2,KIRC
TCGA-BP-4801,cg00188704,0.7713,HOXA2,KIRC
TCGA-BP-4993,cg00188704,0.8087,HOXA2,KIRC
TCGA-BP-5010,cg00188704,0.6375,HOXA2,KIRC
TCGA-BP-5168,cg00188704,0.8445,HOXA2,KIRC
TCGA-BP-5169,cg00188704,0.8444,HOXA2,KIRC
TCGA-BP-5170,cg00188704,0.7593,HOXA2,KIRC
TCGA-BP-5173,cg00188704,0.7698,HOXA2,KIRC
TCGA-BP-5174,cg00188704,0.849,HOXA2,KIRC
TCGA-BP-5175,cg00188704,0.7632,HOXA2,KIRC
TCGA-BP-5176,cg00188704,0.7542,HOXA2,KIRC
TCGA-BP-5177,cg00188704,0.7178,HOXA2,KIRC
TCGA-BP-5178,cg00188704,0.8303,HOXA2,KIRC
TCGA-BP-5180,cg00188704,0.8901,HOXA2,KIRC
TCGA-BP-5182,cg00188704,0.7946,HOXA2,KIRC
TCGA-BP-5183,cg00188704,0.9014,HOXA2,KIRC
TCGA-BP-5184,cg00188704,0.7406,HOXA2,KIRC
TCGA-BP-5185,cg00188704,0.8353,HOXA2,KIRC
TCGA-BP-5186,cg00188704,0.5756,HOXA2,KIRC
TCGA-BP-5187,cg00188704,0.6917,HOXA2,KIRC
TCGA-BP-5189,cg00188704,0.7375,HOXA2,KIRC
TCGA-BP-5190,cg00188704,0.8477,HOXA2,KIRC
TCGA-BP-5192,cg00188704,0.7858,HOXA2,KIRC
TCGA-BP-5194,cg00188704,0.7919,HOXA2,KIRC
TCGA-BP-5195,cg00188704,0.7264,HOXA2,KIRC
TCGA-BP-5196,cg00188704,0.7865,HOXA2,KIRC
TCGA-BP-5198,cg00188704,0.7963,HOXA2,KIRC
TCGA-BP-5200,cg00188704,0.8419,HOXA2,KIRC
TCGA-BP-5201,cg00188704,0.8068,HOXA2,KIRC
TCGA-BP-5202,cg00188704,0.7883,HOXA2,KIRC
TCGA-CJ-4869,cg00188704,0.8023,HOXA2,KIRC
TCGA-CJ-4882,cg00188704,0.7435,HOXA2,KIRC
TCGA-CJ-4897,cg00188704,0.7812,HOXA2,KIRC
TCGA-CJ-4901,cg00188704,0.8364,HOXA2,KIRC
TCGA-CJ-4902,cg00188704,0.5603,HOXA2,KIRC
TCGA-CJ-4903,cg00188704,0.8731,HOXA2,KIRC
TCGA-CJ-4904,cg00188704,0.6575,HOXA2,KIRC
TCGA-CJ-4905,cg00188704,0.7617,HOXA2,KIRC
TCGA-CJ-4907,cg00188704,0.7303,HOXA2,KIRC
TCGA-CJ-4908,cg00188704,0.6713,HOXA2,KIRC
TCGA-CJ-4912,cg00188704,0.739,HOXA2,KIRC
TCGA-CJ-4918,cg00188704,0.4859,HOXA2,KIRC
TCGA-CJ-4920,cg00188704,0.324,HOXA2,KIRC
TCGA-CJ-5671,cg00188704,0.8261,HOXA2,KIRC
TCGA-CJ-5672,cg00188704,0.6627,HOXA2,KIRC
TCGA-CJ-5676,cg00188704,0.7202,HOXA2,KIRC
TCGA-CJ-5677,cg00188704,0.6427,HOXA2,KIRC
TCGA-CJ-5678,cg00188704,0.884,HOXA2,KIRC
TCGA-CJ-5680,cg00188704,0.8205,HOXA2,KIRC
TCGA-CJ-5681,cg00188704,0.603,HOXA2,KIRC
TCGA-CJ-5682,cg00188704,0.8422,HOXA2,KIRC
TCGA-CJ-5683,cg00188704,0.5087,HOXA2,KIRC
TCGA-CJ-5684,cg00188704,0.8171,HOXA2,KIRC
TCGA-CJ-5686,cg00188704,0.7012,HOXA2,KIRC
TCGA-CJ-5689,cg00188704,0.7129,HOXA2,KIRC
TCGA-CJ-6027,cg00188704,0.8398,HOXA2,KIRC
TCGA-CJ-6028,cg00188704,0.7728,HOXA2,KIRC
TCGA-CJ-6030,cg00188704,0.8445,HOXA2,KIRC
TCGA-CJ-6031,cg00188704,0.612,HOXA2,KIRC
TCGA-CJ-6032,cg00188704,0.8468,HOXA2,KIRC
TCGA-CJ-6033,cg00188704,0.6547,HOXA2,KIRC
TCGA-CW-5580,cg00188704,0.5525,HOXA2,KIRC
TCGA-CW-5581,cg00188704,0.7625,HOXA2,KIRC
TCGA-CW-5583,cg00188704,0.789,HOXA2,KIRC
TCGA-CW-5584,cg00188704,0.7691,HOXA2,KIRC
TCGA-CW-5585,cg00188704,0.8697,HOXA2,KIRC
TCGA-CW-5587,cg00188704,0.7958,HOXA2,KIRC
TCGA-CW-5588,cg00188704,0.798,HOXA2,KIRC
TCGA-CW-5589,cg00188704,0.8372,HOXA2,KIRC
TCGA-CW-5591,cg00188704,0.8591,HOXA2,KIRC
TCGA-CW-6087,cg00188704,0.8965,HOXA2,KIRC
TCGA-CW-6088,cg00188704,0.8182,HOXA2,KIRC
TCGA-CW-6090,cg00188704,0.5273,HOXA2,KIRC
TCGA-CW-6093,cg00188704,0.817,HOXA2,KIRC
TCGA-CW-6097,cg00188704,0.7887,HOXA2,KIRC
TCGA-CZ-4853,cg00188704,0.8461,HOXA2,KIRC
TCGA-CZ-4856,cg00188704,0.6669,HOXA2,KIRC
TCGA-CZ-4859,cg00188704,0.8718,HOXA2,KIRC
TCGA-CZ-4863,cg00188704,0.6361,HOXA2,KIRC
TCGA-CZ-4864,cg00188704,0.8488,HOXA2,KIRC
TCGA-CZ-4866,cg00188704,0.8949,HOXA2,KIRC
TCGA-CZ-5451,cg00188704,0.826,HOXA2,KIRC
TCGA-CZ-5452,cg00188704,0.8394,HOXA2,KIRC
TCGA-CZ-5453,cg00188704,0.8894,HOXA2,KIRC
TCGA-CZ-5454,cg00188704,0.8951,HOXA2,KIRC
TCGA-CZ-5455,cg00188704,0.8488,HOXA2,KIRC
TCGA-CZ-5456,cg00188704,0.8849,HOXA2,KIRC
TCGA-CZ-5457,cg00188704,0.7669,HOXA2,KIRC
TCGA-CZ-5458,cg00188704,0.5938,HOXA2,KIRC
TCGA-CZ-5459,cg00188704,0.8171,HOXA2,KIRC
TCGA-CZ-5460,cg00188704,0.8343,HOXA2,KIRC
TCGA-CZ-5461,cg00188704,0.8278,HOXA2,KIRC
TCGA-CZ-5462,cg00188704,0.9057,HOXA2,KIRC
TCGA-CZ-5463,cg00188704,0.3797,HOXA2,KIRC
TCGA-CZ-5464,cg00188704,0.6112,HOXA2,KIRC
TCGA-CZ-5465,cg00188704,0.8954,HOXA2,KIRC
TCGA-CZ-5466,cg00188704,0.6726,HOXA2,KIRC
TCGA-CZ-5467,cg00188704,0.8031,HOXA2,KIRC
TCGA-CZ-5468,cg00188704,0.8298,HOXA2,KIRC
TCGA-CZ-5469,cg00188704,0.3936,HOXA2,KIRC
TCGA-CZ-5470,cg00188704,0.9076,HOXA2,KIRC
TCGA-CZ-5982,cg00188704,0.7536,HOXA2,KIRC
